Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
 339,339,   1,  110.00,    0.00,    3.89,   -2.98,   -0.92,   -0.73,    7.37,    7.29
 340,340,   1,  110.00,    0.00,    3.89,   -3.09,   -1.04,   -0.86,    7.22,    7.15
 341,341,   1,  110.00,    0.00,    3.89,   -3.21,   -1.15,   -0.98,    7.08,    7.00
 342,342,   1,  110.00,    0.00,    3.89,   -3.32,   -1.26,   -1.09,    6.93,    6.86
 343,343,   1,  110.00,    0.00,    3.89,   -3.42,   -1.37,   -1.20,    6.79,    6.71
 344,344,   1,  110.00,    0.00,    3.89,   -3.53,   -1.47,   -1.31,    6.65,    6.57
 345,345,   1,  110.00,    0.00,    3.89,   -3.63,   -1.58,   -1.42,    6.50,    6.43
 346,346,   1,  110.00,    0.00,    3.89,   -3.72,   -1.67,   -1.52,    6.36,    6.29
 347,347,   1,  110.00,    0.00,    3.89,   -3.81,   -1.77,   -1.62,    6.22,    6.15
 348,348,   1,  110.00,    0.00,    3.89,   -3.90,   -1.86,   -1.72,    6.08,    6.00
 349,349,   1,  110.00,    0.00,    3.89,   -3.99,   -1.95,   -1.81,    5.94,    5.87
 350,350,   1,  110.00,    0.00,    3.89,   -4.07,   -2.03,   -1.90,    5.80,    5.73
 351,351,   1,  110.00,    0.00,    3.89,   -4.15,   -2.11,   -1.99,    5.66,    5.59
 352,352,   1,  110.00,    0.00,    3.89,   -4.23,   -2.19,   -2.07,    5.52,    5.45
 353,353,   1,  110.00,    0.00,    3.89,   -4.30,   -2.27,   -2.15,    5.38,    5.31
 354,354,   1,  110.00,    0.00,    3.89,   -4.37,   -2.34,   -2.23,    5.25,    5.18
 355,355,   1,  110.00,    0.00,    3.89,   -4.44,   -2.40,   -2.30,    5.11,    5.04
 356,356,   1,  110.00,    0.00,    3.89,   -4.50,   -2.47,   -2.37,    4.98,    4.91
 357,357,   1,  110.00,    0.00,    3.89,   -4.56,   -2.53,   -2.43,    4.85,    4.78
 358,358,   1,  110.00,    0.00,    3.89,   -4.61,   -2.59,   -2.50,    4.71,    4.65
 359,359,   1,  110.00,    0.00,    3.89,   -4.66,   -2.64,   -2.55,    4.58,    4.51
 360,360,   1,  110.00,    0.00,    3.89,   -4.71,   -2.69,   -2.61,    4.45,    4.39
